recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.7630687932986401,0.3091586373028706,6,0.330188679245283,0.42540092007763153,4,1.1666666666666667,0.408248290463863,6,0.6666666666666666,0.5773502691896257,3,1,0,2,403,470.93311627024065,2,0.6666666666666666,6,1636.1111111111113,804.5299985199548,6,1797.2222222222224,808.5251776926697,6,1797.2222222222224,808.5251776926697,-0.019999999999999723,0.12798437404620916,6,-0.0285187198067632,0.0891977782709901,6,235.66666666666666,124.35862119960429,6,21,all
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.7916164948706362,0.15271816988756298,7,0.5167714884696017,0.23584206838004718,6,1.7142857142857142,0.7559289460184544,7,0.25,0.5,4,1,0,2,404,0,2,1.2857142857142858,7,1326.1904761904764,645.4690472867703,7,1278.5714285714287,794.7579578967496,7,1671.4285714285716,488.4512832255189,0.06571428571428571,0.06438352347641504,7,0.041511904761904805,0.04952387725117473,7,468.57142857142856,156.3765297211159,7,14,all
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.7555604028998525,0.193708726044422,5,0.2908805031446541,0.21429073713444455,4,2.4,1.6733200530681511,5,0.3333333333333333,0.5773502691896257,3,1,NA,1,337,NA,1,1.2,5,677.1111111111111,326.1149914590266,5,743.3333333333334,293.8253449471868,5,810,286.16234708446336,0.0924999999999998,0.05500000000000007,4,0.07385416666666655,0.049443073092717955,4,266.75,135.05893775188176,4,12,all
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.827773962810647,0.16910488106016242,7,0.60062893081761,0.15784785326593873,6,2.5714285714285716,0.7867957924694432,7,1,0,3,1,0,3,270.3333333333333,117.00142449275279,3,0.7142857142857143,7,707.1428571428572,275.43856323398535,7,873.8095238095239,475.88680793677605,7,1004.7619047619048,394.01944463607725,0.13999999999999993,0.12144957801491128,7,0.09628061224489803,0.14276452964530828,7,330.85714285714283,250.53371600872975,7,12,all
CompMix36_S28_502428000_F1,502428000,CompMix-36,38,40,40,60,0.6134071390230811,0.4257391990985589,4,0.4528301886792453,0.16899407349112458,2,1.3333333333333333,0.5773502691896257,3,NA,NA,NA,1,NA,1,737,NA,1,0.5,4,1113.888888888889,321.9227535593892,3,950,578.3117190965825,3,1277.7777777777778,184.34066692263391,0.2616666666666669,0.21501937897160162,3,0.18475766283524905,0.14710146149854442,3,605.3333333333334,79.21068951431576,3,13,all
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.6689027348188306,0.09964317967812192,6,0.25943396226415094,0.24355002481090718,4,1.5,0.5477225575051661,6,0,NA,1,1,0,4,503.5,143.60478172168686,4,1.6666666666666667,6,1151.388888888889,638.3228168556398,6,1213.888888888889,622.0411442864413,6,1269.4444444444446,528.3534871725628,0.07699999999999996,0.07370549504616336,5,0.04851904761904757,0.036972746137068205,5,426.4,197.4659464312771,5,15.43333333333333,all
CompMix36_S15_97932000_F2,97932000,CompMix-36,39.46666666666667,45,45,50,0.5037611940298508,0.5540339938084925,2,NA,NA,NA,1,NA,1,NA,NA,NA,0.5,0.7071067811865476,2,253,NA,1,1,2,1833.3333333333335,NA,1,1833.3333333333335,NA,1,1833.3333333333335,NA,-0.0024999999999999467,0.03181980515339522,2,0.06308333333333338,0.0315841028929991,2,266.5,352.8462838120872,2,14.466666666666669,all
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.7715657638170531,0.23810996572985435,8,0.48427672955974843,0.3052930029675096,8,2.25,0.8864052604279183,8,0.8,0.44721359549995793,5,1,0,3,148.33333333333334,150.32076813711848,3,1.25,8,858.6805555555557,286.7689213314835,8,960.4166666666667,431.4921967695544,8,1031.25,333.6233857091908,0.1312500000000001,0.14834202756756812,8,0.08938839285714284,0.10499294809828161,8,441.125,146.54149826682445,8,13,all
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.6432027358479689,0.22515641366448572,7,0.21278825995807132,0.30354410558681,6,1.1428571428571428,0.3779644730092272,7,0.6666666666666666,0.5773502691896257,3,1,0,3,664.3333333333334,78.6468901694996,3,1.4285714285714286,7,1428.5714285714287,649.6946779858788,7,1328.5714285714287,756.7421820929043,7,1528.5714285714287,641.5197729202266,0.04083333333333335,0.07095186161522944,6,-0.02736111111111117,0.032157972342565,6,213.5,238.7825370499275,6,16,all
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.5600123547387575,0.2454567743803768,8,0.11556603773584904,0.27725869325714303,8,1,0,8,0.4,0.5477225575051661,5,1,0,2,703.5,424.9711754931151,2,1,8,1366.6666666666667,637.8908699023383,8,1366.6666666666667,637.8908699023383,8,1366.6666666666667,637.8908699023383,0.07187500000000013,0.03514637758209033,8,0.04839583333333336,0.038725677210306154,8,379,122.92506428133942,8,15.200000000000003,all
