recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S01_88272000_F1,88272000,CompMix-36,46,65,65,35,0.5045724241741639,0.3224473184507898,8,0.057389937106918254,0.026729559748427632,4,1.1428571428571428,0.3779644730092272,7,NA,NA,NA,0.875,0.3535533905932738,8,443.85714285714283,295.93097650827775,7,1.125,8,1214.2857142857144,637.1543050671545,7,1295.2380952380954,623.959451266985,7,1295.2380952380954,623.959451266985,0.043125000000000024,0.09141496829606958,8,-0.059031113451935124,0.0973365696386548,8,537.125,444.5721659239203,8,21,distractor
CompMix36_S04_82812000_F1,82812000,CompMix-36,39,70,70,30,0.7279809946469261,0.1826158284143309,12,0.48506289308176104,0.20374661507769054,8,1.25,0.45226701686664544,12,NA,NA,NA,1,0,12,377.3333333333333,119.17773841340225,12,1.4166666666666667,12,1554.1666666666667,537.9710761629094,12,1530.5555555555557,576.6865180211344,12,1631.9444444444446,480.3438548115494,0.34958333333333347,0.7664305054582378,12,0.0574665032679739,0.06881858070485954,12,871.5833333333334,440.35284578151504,12,14,distractor
CompMix36_S21_503484000_F1,503484000,CompMix-36,37,50,50,50,0.8606422134121866,0.08455734500107101,7,0.6729559748427674,0.06226097444409859,2,1.8571428571428572,0.6900655593423543,7,NA,NA,NA,1,0,7,268.42857142857144,123.03232250491081,7,0.7142857142857143,7,1107.142857142857,789.2863128154976,7,1195.2380952380952,739.22596440806,7,1195.2380952380952,739.22596440806,0.13428571428571434,0.14746266678464107,7,-0.013913830422451059,0.11569805461003885,7,699.4285714285714,417.82127644199625,7,12,distractor
CompMix36_S25_93468000_F1,93468000,CompMix-36,37,90,90,10,0.8241560297691994,0.09029449358549801,6,0.5534591194968553,0.14749735093784366,4,3.1666666666666665,0.752772652709081,6,NA,NA,NA,1,0,6,303.6666666666667,183.06137404342476,6,0.6666666666666666,6,524.5370370370371,207.45679802134103,6,638.8888888888889,261.972574193616,6,772.2222222222223,274.4017060739534,0.2041666666666666,0.15781054041687678,6,0.08798642499574745,0.13968441616275468,6,829.8333333333334,557.2408515773648,6,12,distractor
CompMix36_S28_502428000_F1,502428000,CompMix-36,38,40,40,60,0.6741721356302981,0.1526757246955638,5,NA,NA,NA,1,0,5,NA,NA,NA,1,0,5,522.2,533.0287984715272,5,0.8,5,1506.6666666666667,435.18833726202837,5,1506.6666666666667,435.18833726202837,5,1506.6666666666667,435.18833726202837,0.14700000000000016,0.2052620276622055,5,0.06041120582031061,0.1271845444300074,5,945.6,224.70269246272952,5,13,distractor
CompMix36_S13_536412000_F2,536412000,CompMix-36,40.43333333333333,70,70,40,0.6753234567806653,0.12190815961194215,11,0.2531446540880503,0.16603257408913258,4,1.8181818181818181,0.873862897505303,11,NA,NA,NA,1,0,11,509.6363636363636,135.8596869768753,11,1.2727272727272727,11,906.0606060606061,477.11649679627675,11,856.0606060606061,524.8424487020806,11,1100,483.73546489791306,0.2118181818181818,0.09434703830202425,11,0.03617883603701735,0.0623723808704777,11,878,320.97881550033793,11,15.43333333333333,distractor
CompMix36_S15_97932000_F2,97932000,CompMix-36,39.46666666666667,45,45,50,0.4580434474236323,0.25032511516411843,8,-0.16352201257861634,0.3049720057064242,4,1.2857142857142858,0.7559289460184544,7,NA,NA,NA,0.75,0.4629100498862757,8,717.3333333333334,471.7302901729617,6,1.25,8,904.7619047619048,539.1792704790178,7,871.4285714285716,573.3038013804276,7,966.6666666666667,511.35259995572676,0.1499999999999999,0.24328114247864407,8,0.0809950673554814,0.1063100412092992,8,970,547.3525894182443,8,14.466666666666669,distractor
CompMix36_S17_94332000_F2,94332000,CompMix-36,38,40,40,60,0.5271553499083939,0.22848240491178973,9,0.39308176100628933,0.2699034211652775,4,1.6666666666666667,0.7071067811865476,9,NA,NA,NA,1,0,9,316.6666666666667,195.26072313704054,9,2,9,828.3950617283951,238.90817823357608,9,946.2962962962964,469.02512502128775,9,1025.925925925926,401.56906759533007,0.20833333333333337,0.11366067921669315,9,0.10801293922127266,0.08630698376775184,9,634.5555555555555,362.40209405821287,9,13,distractor
CompMix36_S24_545388000_F2,545388000,CompMix-36,41,40,40,60,0.5940144758508559,0.24064152209001421,13,0.05136268343815514,0.21506920544116873,6,1.1538461538461537,0.3755338080994054,13,NA,NA,NA,1,0,13,373.0769230769231,263.5293979611072,13,1.4615384615384615,13,1435.2564102564104,744.9067323403916,13,1471.7948717948718,706.398816356092,13,1471.7948717948718,706.398816356092,0.11384615384615385,0.18492288760176315,13,-0.015668647071086148,0.157274216994777,13,785.4615384615385,542.2060824976384,13,16,distractor
CompMix36_S30_109320000_F2,109320000,CompMix-36,40.2,60,60,40,0.5689246681798964,0.21388951410990942,8,0.24213836477987424,0.06670818690439122,2,1.125,0.3535533905932738,8,NA,NA,NA,1,0,8,549.375,282.11747173321766,8,1.5,8,1239.5833333333335,434.60778705797316,8,1343.75,476.00666095112706,8,1343.75,476.00666095112706,0.24937499999999996,0.12754375999744472,8,0.09059319977531322,0.058168288215853535,8,1163.875,227.3653054950494,8,15.200000000000003,distractor
CompMix36_S03_86508000_E1,86508000,CompMix-36,43.2,30,70,30,0.8772707388738521,0.05685806674651611,10,0.6619496855345912,0.06448458067424488,2,1.4,0.699205898780101,10,NA,NA,NA,1,0,10,317,141.7227340031702,10,0.9,10,1899.1666666666667,694.0048608717235,10,1805.0000000000002,839.6813769608177,10,2005.0000000000002,597.7349220490945,0.2335000000000001,0.19385060112250255,10,0.0892367969562736,0.1391811571318623,10,1032.5,387.7270660887344,10,18.200000000000003,distractor
